id,list_id,title,description,position,due_date
card1,list1,Задача 1,Описание задачи 1,1,2024-12-15T18:00:00
card2,list1,Задача 2,Описание задачи 2,2,2024-12-16T18:00:00
card3,list2,Задача 3,Описание задачи 3,3,2024-12-17T18:00:00
card4,list2,Задача 4,Описание задачи 4,1,2024-12-18T18:00:00
card5,list3,Задача 5,Описание задачи 5,2,2024-12-19T18:00:00
card6,list3,Задача 6,Описание задачи 6,3,2024-12-20T18:00:00
card7,list4,Задача 7,Описание задачи 7,1,2024-12-21T18:00:00
card8,list4,Задача 8,Описание задачи 8,2,2024-12-22T18:00:00
card9,list5,Задача 9,Описание задачи 9,1,2024-12-23T18:00:00
card10,list5,Задача 10,Описание задачи 10,2,2024-12-24T18:00:00
